00AB	"
00B2	2
00B3	3
00B9	1
00BB	"
1EF9	y
1EFA	LL
1EFB	ll
1EFC	V
1EFE	Y
1EFF	y
2010	-
2011	-
2012	-
2013	-
2014	-
2018	'
2019	'
201A	'
201B	'
201C	"
201D	"
201E	"
2032	'
2033	"
2035	'
2036	"
2038	^
2039	'
203A	'
203C	!!
2044	/
2045	[
2046	]
2047	??
2048	?!
2049	!?
204E	*
204F	;
2052	%
2053	~
2070	0
2071	i
2074	4
2075	5
2076	6
2077	7
2078	8
2079	9
207A	+
207B	-
207C	=
207D	(
207E	)
207F	n
2080	0
2081	1
2082	2
2083	3
2084	4
2085	5
2086	6
2087	7
2088	8
2089	9
208A	+
208B	-
208C	=
208D	(
208E	)
2090	a
2091	e
2092	o
2093	x
2094	a
2184	c
2460	1
2461	2
2462	3
2463	4
2464	5
2465	6
2466	7
2467	8
2468	9
2469	10
246A	11
246B	12
246C	13
246D	14
246E	15
246F	16
2470	17
2471	18
2472	19
2473	20
2474	(1)
2475	(2)
2476	(3)
2477	(4)
2478	(5)
2479	(6)
247A	(7)
247B	(8)
247C	(9)
247D	(10)
247E	(11)
247F	(12)
2480	(13)
2481	(14)
2482	(15)
2483	(16)
2484	(17)
2485	(18)
2486	(19)
2487	(20)
2488	1.
2489	2.
248A	3.
248B	4.
248C	5.
248D	6.
248E	7.
248F	8.
2490	9.
2491	10.
2492	11.
2493	12.
2494	13.
2495	14.
2496	15.
2497	16.
2498	17.
2499	18.
249A	19.
249B	20.
249C	(a)
249D	(b)
249E	(c)
249F	(d)
24A0	(e)
24A1	(f)
24A2	(g)
24A3	(h)
24A4	(i)
24A5	(j)
24A6	(k)
24A7	(l)
24A8	(m)
24A9	(n)
24AA	(o)
24AB	(p)
24AC	(q)
24AD	(r)
24AE	(s)
24AF	(t)
24B0	(u)
24B1	(v)
24B2	(w)
24B3	(x)
24B4	(y)
24B5	(z)
24B6	A
24B7	B
24B8	C
24B9	D
24BA	E
24BB	F
24BC	G
24BD	H
24BE	I
24BF	J
24C0	K
24C1	L
24C2	M
24C3	N
24C4	O
24C5	P
24C6	Q
24C7	R
24C8	S
24C9	T
24CA	U
24CB	V
24CC	W
24CD	X
24CE	Y
24CF	Z
24D0	a
24D1	b
24D2	c
24D3	d
24D4	e
24D5	f
24D6	g
24D7	h
24D8	i
24D9	j
24DA	k
24DB	l
24DC	m
24DD	n
24DE	o
24DF	p
24E0	q
24E1	r
24E2	s
24E3	t
24E4	u
24E5	v
24E6	w
24E7	x
24E8	y
24E9	z
24EA	0
24EB	11
24EC	12
24ED	13
24EE	14
24EF	15
24F0	16
24F1	17
24F2	18
24F3	19
24F4	20
24F5	1
24F6	2
24F7	3
24F8	4
24F9	5
24FA	6
24FB	7
24FC	8
24FD	9
24FE	10
24FF	0
275B	'
275C	'
275D	"
275E	"
2768	(
2769	)
276A	(
276B	)
276C	<
276D	>
276E	"
276F	"
2770	<
2771	>
2772	[
2773	]
2774	{
2775	}
2776	1
2777	2
2778	3
2779	4
277A	5
277B	6
277C	7
277D	8
277E	9
277F	10
2780	1
2781	2
2782	3
2783	4
2784	5
2785	6
2786	7
2787	8
2788	9
2789	10
278A	1
278B	2
278C	3
278D	4
278E	5
278F	6
2790	7
2791	8
2792	9
2793	10
2C60	L
2C61	l
2C62	L
2C63	P
2C64	R
2C65	a
2C66	t
2C67	H
2C68	h
2C69	K
2C6A	k
2C6B	Z
2C6C	z
2C6E	M
2C6F	a
2C71	v
2C72	W
2C73	w
2C74	v
2C75	H
2C76	h
2C78	e
2C7A	o
2C7B	E
2C7C	j
2E28	((
2E29	))
A728	TZ
A729	tz
A730	F
A731	S
A732	AA
A733	aa
A734	AO
A735	ao
A736	AU
A737	au
A738	AV
A739	av
A73A	AV
A73B	av
A73C	AY
A73D	ay
A73E	c
A73F	c
A740	K
A741	k
A742	K
A743	k
A744	K
A745	k
A746	L
A747	l
A748	L
A749	l
A74A	O
A74B	o
A74C	O
A74D	o
A74E	OO
A74F	oo
A750	P
A751	p
A752	P
A753	p
A754	P
A755	p
A756	Q
A757	q
A758	Q
A759	q
A75A	R
A75B	r
A75E	V
A75F	v
A760	VY
A761	vy
A762	Z
A763	z
A766	TH
A767	th
A768	V
A779	D
A77A	d
A77B	F
A77C	f
A77D	G
A77E	G
A77F	g
A780	L
A781	l
A782	R
A783	r
A784	s
A785	S
A786	T
A7FB	F
A7FC	p
A7FD	M
A7FE	I
A7FF	M
FB00	ff
FB01	fi
FB02	fl
FB03	ffi
FB04	ffl
FB06	st
FF01	!
FF02	"
FF03	#
FF04	$
FF05	%
FF06	&
FF07	'
FF08	(
FF09	)
FF0A	*
FF0B	+
FF0C	,
FF0D	-
FF0E	.
FF0F	/
FF10	0
FF11	1
FF12	2
FF13	3
FF14	4
FF15	5
FF16	6
FF17	7
FF18	8
FF19	9
FF1A	:
FF1B	;
FF1C	<
FF1D	=
FF1E	>
FF1F	?
FF20	@
FF21	A
FF22	B
FF23	C
FF24	D
FF25	E
FF26	F
FF27	G
FF28	H
FF29	I
FF2A	J
FF2B	K
FF2C	L
FF2D	M
FF2E	N
FF2F	O
FF30	P
FF31	Q
FF32	R
FF33	S
FF34	T
FF35	U
FF36	V
FF37	W
FF38	X
FF39	Y
FF3A	Z
FF3B	[
FF3C	\
FF3D	]
FF3E	^
FF3F	_
FF41	a
FF42	b
FF43	c
FF44	d
FF45	e
FF46	f
FF47	g
FF48	h
FF49	i
FF4A	j
FF4B	k
FF4C	l
FF4D	m
FF4E	n
FF4F	o
FF50	p
FF51	q
FF52	r
FF53	s
FF54	t
FF55	u
FF56	v
FF57	w
FF58	x
FF59	y
FF5A	z
FF5B	{
FF5D	}
FF5E	~
